City Key,City,State Province,Sales Territory
79,El Sobrante,California,Far West
80,El Toro,Texas,Southwest
81,El Toro,California,Far West
82,El Tumbao,Puerto Rico (US Territory),External
83,El Vado,New Mexico,Southwest
84,El Verano,California,Far West
85,Elaine,Arkansas,Southeast
86,Eland,Wisconsin,Great Lakes
87,Elba,New York,Mideast
88,Elba,Minnesota,Plains
89,Elba,Alabama,Southeast
90,Elba,Nebraska,Plains
91,Austin,Kentucky,Southeast
92,Austin,Montana,Rocky Mountain
93,Austin,Texas,Southwest
94,Austin,Nevada,Far West
95,Austin,Arkansas,Southeast
96,Austin,Indiana,Great Lakes
97,Austin,Pennsylvania,Mideast
98,Austin,Minnesota,Plains
99,Austinburg,Ohio,Great Lakes
100,Austintown,Ohio,Great Lakes
101,Austinville,Virginia,Southeast
102,Austonio,Texas,Southwest
103,Austwell,Texas,Southwest
104,Autaugaville,Alabama,Southeast
105,Autryville,North Carolina,Southeast
106,Auvergne,Arkansas,Southeast
107,Auxier,Kentucky,Southeast
108,Auxvasse,Missouri,Plains
109,Ava,Missouri,Plains
110,Ava,Illinois,Great Lakes
111,Ava,Ohio,Great Lakes
112,Ava,New York,Mideast
113,Avalon,Missouri,Plains
114,Avalon,Mississippi,Southeast
115,Avalon,Wisconsin,Great Lakes
116,Avalon,New Jersey,Mideast
117,Avalon,Pennsylvania,Mideast
118,Avalon,Georgia,Southeast
119,Avalon,California,Far West
120,Avalon Beach,Florida,Southeast
121,Avant,Oklahoma,Southwest
122,Avard,Oklahoma,Southwest
123,Avawam,Kentucky,Southeast
124,Avella,Pennsylvania,Mideast
125,Avenal,California,Far West
126,Brownbranch,Missouri,Plains
127,Browndell,Texas,Southwest
128,Brownell,Kansas,Plains
129,Brownfield,Texas,Southwest
130,Brownfield,Maine,New England
131,Brownfield,Illinois,Great Lakes
132,Browning,Montana,Rocky Mountain
133,Browning,Illinois,Great Lakes
134,Browning,Missouri,Plains
135,Brownington,Missouri,Plains
136,Brownlee,Nebraska,Plains
137,Brownlee,Louisiana,Southeast
138,Brownlee,Oregon,Far West
139,Brownlee Park,Michigan,Great Lakes
140,Browns,Illinois,Great Lakes
141,Browns Lake,Wisconsin,Great Lakes
142,Browns Mills,New Jersey,Mideast
143,Browns Valley,Minnesota,Plains
144,Brownsboro,Texas,Southwest
145,Brownsburg,Indiana,Great Lakes
146,Brownsburg,Virginia,Southeast
147,Brownsdale,Florida,Southeast
148,Brownsdale,Minnesota,Plains
149,Brownson,Nebraska,Plains
150,Brownstown,Pennsylvania,Mideast
151,Brownstown,Indiana,Great Lakes
152,Brownstown,Illinois,Great Lakes
153,Brownsville,Kentucky,Southeast
154,Brownsville,Tennessee,Southeast
155,Brownsville,Oregon,Far West
156,Brownsville,Minnesota,Plains
157,Brownsville,Pennsylvania,Mideast
158,Brownsville,Wisconsin,Great Lakes
159,Brownsville,Ohio,Great Lakes
160,Crofton,Nebraska,Plains
161,Croghan,New York,Mideast
162,Cromberg,California,Far West
163,Crompond,New York,Mideast
164,Cromwell,Iowa,Plains
165,Cromwell,Minnesota,Plains
166,Cromwell,Indiana,Great Lakes
167,Cromwell,Washington,Far West
168,Cromwell,Kentucky,Southeast
169,Cromwell,Connecticut,New England
170,Cromwell,Alabama,Southeast
171,Cromwell,Oklahoma,Southwest
172,Crook,Colorado,Rocky Mountain
173,Crooked Creek,Alaska,Far West
174,Crooks,South Dakota,Plains
175,Crookston,Minnesota,Plains
176,Crookston,Nebraska,Plains
177,Crooksville,Ohio,Great Lakes
178,Croom,Maryland,Mideast
179,Cropper,Kentucky,Southeast
180,Cropsey,Illinois,Great Lakes
181,Crosby,Alabama,Southeast
182,Crosby,Maryland,Mideast
183,Crosby,Pennsylvania,Mideast
184,Crosby,Texas,Southwest
185,Crosby,Mississippi,Southeast
186,Crosby,Minnesota,Plains
187,Crosby,North Dakota,Plains
188,Crosbyton,Texas,Southwest
189,Cross,South Carolina,Southeast
190,Cross Anchor,South Carolina,Southeast
191,Cross City,Florida,Southeast
192,Cross Creek,Pennsylvania,Mideast
193,Cross Cut,Texas,Southwest
194,Carter Lake,Iowa,Plains
195,Carteret,New Jersey,Mideast
196,Cartersville,Georgia,Southeast
197,Cartersville,Virginia,Southeast
198,Carterville,Missouri,Plains
199,Carterville,Illinois,Great Lakes
200,Carthage,Missouri,Plains
201,Carthage,Indiana,Great Lakes
202,Carthage,Illinois,Great Lakes
203,Carthage,South Dakota,Plains
204,Carthage,New York,Mideast
205,Carthage,Arkansas,Southeast
206,Carthage,Texas,Southwest
207,Carthage,Tennessee,Southeast
208,Carthage,North Carolina,Southeast
209,Carthage,Mississippi,Southeast
210,Carthage,Kentucky,Southeast
211,Carthage,New Mexico,Southwest
212,Carthage,Maine,New England
213,Cartwright,Oklahoma,Southwest
214,Cartwright,North Dakota,Plains
215,Caruthers,California,Far West
216,Caruthersville,Missouri,Plains
217,Carver,Minnesota,Plains
218,Carver,Kentucky,Southeast
219,Carver,Massachusetts[E],New England
220,Carville,Louisiana,Southeast
221,Cary,North Carolina,Southeast
222,Cary,Mississippi,Southeast
223,Cary,Illinois,Great Lakes
224,Carytown,Missouri,Plains
225,Caryville,Tennessee,Southeast
226,Caryville,Florida,Southeast
227,Caryville,Massachusetts[E],New England
228,Ardmore,Tennessee,Southeast
229,Branchburg Park,New Jersey,Mideast
230,Corbin,Kentucky,Southeast
231,Roxton,Texas,Southwest
232,Roy,Washington,Far West
233,Roy,Utah,Rocky Mountain
234,Russellville,South Carolina,Southeast
235,Russia,New York,Mideast
236,Russia,Ohio,Great Lakes
237,Rutland,Iowa,Plains
238,Rutland,North Dakota,Plains
239,Rutland,Massachusetts[E],New England
240,Rutland,Illinois,Great Lakes
241,Rutland,Ohio,Great Lakes
242,Rutledge,Missouri,Plains
243,Sabin,Minnesota,Plains
244,Sabina,Ohio,Great Lakes
245,Sabinal,Texas,Southwest
246,Sabinal,New Mexico,Southwest
247,Sabine,Texas,Southwest
248,Sabine Pass,Texas,Southwest
249,Sabinoso,New Mexico,Southwest
250,Sabinsville,Pennsylvania,Mideast
251,Sabula,Missouri,Plains
252,Sabula,Iowa,Plains
253,Sac City,Iowa,Plains
254,Sacaton,Arizona,Southwest
255,Sachse,Texas,Southwest
256,Sackets Harbor,New York,Mideast
257,Saco,Maine,New England
258,Saco,Montana,Rocky Mountain
259,Sacramento,California,Far West
260,Sacramento,New Mexico,Southwest
261,Newville,Alabama,Southeast
262,Ney,Ohio,Great Lakes
263,Neylandville,Texas,Southwest
264,Nezperce,Idaho,Rocky Mountain
265,Niagara,Kentucky,Southeast
266,Niagara,North Dakota,Plains
267,Niagara,Wisconsin,Great Lakes
268,Niagara Falls,New York,Mideast
269,Niangua,Missouri,Plains
270,Niantic,Connecticut,New England
271,Niantic,Illinois,Great Lakes
272,Niarada,Montana,Rocky Mountain
273,Nibley,Utah,Rocky Mountain
274,Nicasio,California,Far West
275,Nice,California,Far West
276,Niceville,Florida,Southeast
277,Nicholasville,Kentucky,Southeast
278,Nicholls,Georgia,Southeast
279,Nichols,South Carolina,Southeast
280,Nichols,New York,Mideast
281,Nichols,Wisconsin,Great Lakes
282,Nichols,Iowa,Plains
283,Nichols Hills,Oklahoma,Southwest
284,Nicholson,Mississippi,Southeast
285,Nicholson,Pennsylvania,Mideast
286,Nicholson,Georgia,Southeast
287,Nicholville,New York,Mideast
288,Nickel Creek Station,Texas,Southwest
289,Nickelsville,Virginia,Southeast
290,Nickerson,Kansas,Plains
291,Nickerson,Nebraska,Plains
292,Nicksville,Arizona,Southwest
293,Nicodemus,Kansas,Plains
294,Nicolaus,California,Far West
295,Orland,California,Far West
296,Orland,Indiana,Great Lakes
297,Orland Hills,Illinois,Great Lakes
298,Orland Park,Illinois,Great Lakes
299,Orlando,Florida,Southeast
300,Orlando,Oklahoma,Southwest
301,Orlando,West Virginia,Southeast
302,Orleans,Minnesota,Plains
303,Orleans,California,Far West
304,Orleans,Nebraska,Plains
305,Orleans,Iowa,Plains
306,Orleans,Indiana,Great Lakes
307,Orleans,Vermont,New England
308,Orleans,Massachusetts[E],New England
309,Orlinda,Tennessee,Southeast
310,Orlovista,Florida,Southeast
311,Orme,Tennessee,Southeast
312,Ormond Beach,Florida,Southeast
313,Ormond-by-the-Sea,Florida,Southeast
314,Ormsby,Minnesota,Plains
315,Oro Grande,California,Far West
316,Oro Valley,Arizona,Southwest
317,Orocovis,Puerto Rico (US Territory),External
318,Orofino,Idaho,Rocky Mountain
319,Orogrande,New Mexico,Southwest
320,Orono,Minnesota,Plains
321,Orono,Maine,New England
322,Oronoco,Minnesota,Plains
323,Oronogo,Missouri,Plains
324,Orosi,California,Far West
325,Orovada,Nevada,Far West
326,Oroville,Washington,Far West
327,Oroville,California,Far West
328,Orpha,Wyoming,Rocky Mountain
329,Petersburg,Minnesota,Plains
330,Petersburg,Kentucky,Southeast
331,Petersburg,Texas,Southwest
332,Petersburg,Alaska,Far West
333,Petersburg,Michigan,Great Lakes
334,Petersburg,Virginia,Southeast
335,Petersburg,North Dakota,Plains
336,Petersburg,Pennsylvania,Mideast
337,Petersburg,Illinois,Great Lakes
338,Petersburg,Indiana,Great Lakes
339,Petersburg,West Virginia,Southeast
340,Petersburg,Tennessee,Southeast
341,Petersburg,Nebraska,Plains
342,Petersham,Massachusetts[E],New England
343,Peterson,Alabama,Southeast
344,Peterson,Iowa,Plains
345,Peterson,Minnesota,Plains
346,Peterstown,West Virginia,Southeast
347,Petersville,Alabama,Southeast
348,Petersville,Alaska,Far West
349,Petersville,Kentucky,Southeast
350,Petoskey,Michigan,Great Lakes
351,Petrey,Alabama,Southeast
352,Petroleum,West Virginia,Southeast
353,Petrolia,California,Far West
354,Petrolia,Kansas,Plains
355,Petrolia,Texas,Southwest
356,Petrolia,Pennsylvania,Mideast
357,Petronila,Texas,Southwest
358,Petros,Tennessee,Southeast
359,Pettibone,North Dakota,Plains
360,Pettigrew,Arkansas,Southeast
361,Pettisville,Ohio,Great Lakes
362,Pettit,Oklahoma,Southwest
363,Hernandez,New Mexico,Southwest
364,Hernando,Mississippi,Southeast
365,Hernando,Florida,Southeast
366,Hernando Beach,Florida,Southeast
367,Herndon,Pennsylvania,Mideast
368,Herndon,Kansas,Plains
369,Herndon,Virginia,Southeast
370,Herndon,California,Far West
371,Herndon,West Virginia,Southeast
372,Herndon,Kentucky,Southeast
373,Hernshaw,West Virginia,Southeast
374,Herod,Illinois,Great Lakes
375,Herod,Georgia,Southeast
376,Heron,Montana,Rocky Mountain
377,Heron Bay,Alabama,Southeast
378,Heron Lake,Minnesota,Plains
379,Herreid,South Dakota,Plains
380,Herrick,South Dakota,Plains
381,Herrick,Illinois,Great Lakes
382,Herricks,New York,Mideast
383,Herriman,Utah,Rocky Mountain
384,Herrin,Illinois,Great Lakes
385,Herring,Oklahoma,Southwest
386,Herrings,New York,Mideast
387,Herscher,Illinois,Great Lakes
388,Hersey,Michigan,Great Lakes
389,Hersey,Maine,New England
390,Hershey,Nebraska,Plains
391,Hershey,Pennsylvania,Mideast
392,Hertel,Wisconsin,Great Lakes
393,Hertford,North Carolina,Southeast
394,Herty,Texas,Southwest
395,Herzman Mesa,Colorado,Rocky Mountain
396,Hesler,Kentucky,Southeast
397,Highgate Center,Vermont,New England
398,Roosevelt,New York,Mideast
399,Roosevelt,New Jersey,Mideast
400,Roosevelt,Utah,Rocky Mountain
401,Roosevelt,Oklahoma,Southwest
402,Roosevelt,Arizona,Southwest
403,Roosevelt Beach,New York,Mideast
404,Roosevelt Park,Michigan,Great Lakes
405,Roosville,Montana,Rocky Mountain
406,Roper,Kansas,Plains
407,Roper,Georgia,Southeast
408,Roper,North Carolina,Southeast
409,Ropesville,Texas,Southwest
410,Roque Bluffs,Maine,New England
411,Rosa,Alabama,Southeast
412,Rosa Sánchez,Puerto Rico (US Territory),External
413,Rosalia,Washington,Far West
414,Rosalia,Kansas,Plains
415,Rosalie,Alabama,Southeast
416,Rosalie,Nebraska,Plains
417,Rosamond,California,Far West
418,Rosanky,Texas,Southwest
419,Rosario,Washington,Far West
420,Rosaryville,Maryland,Mideast
421,Rosati,Missouri,Plains
422,Rosboro,Arkansas,Southeast
423,Rosburg,Washington,Far West
424,Roscoe,Montana,Rocky Mountain
425,Roscoe,Nebraska,Plains
426,Roscoe,Texas,Southwest
427,Roscoe,Minnesota,Plains
428,Roscoe,Pennsylvania,Mideast
429,Roscoe,New York,Mideast
430,Roscoe,South Dakota,Plains
431,Potter,Wisconsin,Great Lakes
432,Rock Point,Maryland,Mideast
433,Rockford,Minnesota,Plains
434,Roscoe,Illinois,Great Lakes
435,Rose,Nebraska,Plains
436,Rowan,Iowa,Plains
437,Rowden,Texas,Southwest
438,Rowe,New Mexico,Southwest
439,Rowe,Massachusetts[E],New England
440,Rowena,Texas,Southwest
441,Rowena,South Dakota,Plains
442,Rowena,Oregon,Far West
443,Rowes Run,Pennsylvania,Mideast
444,Rowesville,South Carolina,Southeast
445,Rowland,North Carolina,Southeast
446,Rowland,Nevada,Far West
447,Rowland Heights,California,Far West
448,Rowlesburg,West Virginia,Southeast
449,Rowlett,Texas,Southwest
450,Rowley,Iowa,Plains
451,Rowley,Massachusetts[E],New England
452,Rowsburg,Ohio,Great Lakes
453,Rox,Nevada,Far West
454,Roxana,Illinois,Great Lakes
455,Roxboro,North Carolina,Southeast
456,Roxbury,Pennsylvania,Mideast
457,Roxbury,New York,Mideast
458,Roxbury,Vermont,New England
459,Roxbury,Wisconsin,Great Lakes
460,Roxbury,Maine,New England
461,Roxbury,Connecticut,New England
462,Roxbury,Kansas,Plains
463,Roxie,Mississippi,Southeast
464,Roxobel,North Carolina,Southeast
465,Port Wing,Wisconsin,Great Lakes
466,Portage,Maine,New England
467,Portage,Utah,Rocky Mountain
468,Portage,Washington,Far West
469,Portage,Montana,Rocky Mountain
470,Portage,Ohio,Great Lakes
471,Portage,Indiana,Great Lakes
472,Portage,Wisconsin,Great Lakes
473,Portage,Michigan,Great Lakes
474,Portage,Pennsylvania,Mideast
475,Portage Des Sioux,Missouri,Plains
476,Portage Lakes,Ohio,Great Lakes
477,Portageville,Missouri,Plains
478,Portageville,New York,Mideast
479,Portal,Arizona,Southwest
480,Portal,Georgia,Southeast
481,Portal,North Dakota,Plains
482,Portales,New Mexico,Southwest
483,Porter,Oklahoma,Southwest
484,Porter,Washington,Far West
485,Porter,Maine,New England
486,Porter,Minnesota,Plains
487,Porter,Indiana,Great Lakes
488,Porter Center,New York,Mideast
489,Porter Heights,Texas,Southwest
490,Porterdale,Georgia,Southeast
491,Porterfield,Wisconsin,Great Lakes
492,Portersville,Alabama,Southeast
493,Portersville,Pennsylvania,Mideast
494,Porterville,California,Far West
495,Porterville,Utah,Rocky Mountain
496,Porterville,Mississippi,Southeast
497,Porthill,Idaho,Rocky Mountain
498,Portia,Arkansas,Southeast
499,Readsboro,Vermont,New England
500,Readstown,Wisconsin,Great Lakes
501,Readsville,Missouri,Plains
502,Reagan,Texas,Southwest
503,Reagan,Tennessee,Southeast
504,Reager,Kansas,Plains
505,Realitos,Texas,Southwest
506,Reamstown,Pennsylvania,Mideast
507,Reardan,Washington,Far West
508,Reasnor,Iowa,Plains
509,Rebecca,Georgia,Southeast
510,Rebersburg,Pennsylvania,Mideast
511,Recluse,Wyoming,Rocky Mountain
512,Rector,Arkansas,Southeast
513,Rectorville,Kentucky,Southeast
514,Red Ash,Virginia,Southeast
515,Red Bank,Tennessee,Southeast
516,Red Bank,South Carolina,Southeast
517,Red Bank,New Jersey,Mideast
518,Red Banks,Mississippi,Southeast
519,Red Bay,Alabama,Southeast
520,Red Bluff,California,Far West
521,Red Boiling Springs,Tennessee,Southeast
522,Red Bud,Illinois,Great Lakes
523,Red Butte,Wyoming,Rocky Mountain
524,Red Buttes,Wyoming,Rocky Mountain
525,Red Cedar,Wisconsin,Great Lakes
526,Red Chute,Louisiana,Southeast
527,Red Cliff,Wisconsin,Great Lakes
528,Red Cliff,Colorado,Rocky Mountain
529,Red Cloud,Nebraska,Plains
530,Red Corral,California,Far West
531,Red Creek,New York,Mideast
532,Red Cross,North Carolina,Southeast
533,Red River Hot Springs,Idaho,Rocky Mountain
534,Riesel,Texas,Southwest
535,Rieth,Oregon,Far West
536,Rifle,Colorado,Rocky Mountain
537,Rifton,New York,Mideast
538,Riga,New York,Mideast
539,Rigby,Idaho,Rocky Mountain
540,Riggins,Idaho,Rocky Mountain
541,Riley,Oregon,Far West
542,Riley,Kentucky,Southeast
543,Riley,Kansas,Plains
544,Riley,Indiana,Great Lakes
545,Rileyville,Virginia,Southeast
546,Rillito,Arizona,Southwest
547,Rillton,Pennsylvania,Mideast
548,Rimersburg,Pennsylvania,Mideast
549,Rimforest,California,Far West
550,Rimini,South Carolina,Southeast
551,Rinard,Illinois,Great Lakes
552,Rinard,Iowa,Plains
553,Rincon,Georgia,Southeast
554,Rincon,New Mexico,Southwest
555,Rincón,Puerto Rico (US Territory),External
556,Rindge,New Hampshire,New England
557,Riner,Wyoming,Rocky Mountain
558,Riner,Virginia,Southeast
559,Rineyville,Kentucky,Southeast
560,Ringgold,Texas,Southwest
561,Ringgold,Nebraska,Plains
562,Ringgold,Maryland,Mideast
563,Ringgold,Louisiana,Southeast
564,Ringgold,Georgia,Southeast
565,Ringle,Wisconsin,Great Lakes
566,Ringling,Montana,Rocky Mountain
567,Scandinavia,Wisconsin,Great Lakes
568,Spencerville,Maryland,Mideast
569,Ringling,Oklahoma,Southwest
570,Rochester,Pennsylvania,Mideast
571,Rochester,Wisconsin,Great Lakes
572,Rochester,Michigan,Great Lakes
573,Rochester,Washington,Far West
574,Rochester,Ohio,Great Lakes
575,Rochester,Kentucky,Southeast
576,Rochester,Illinois,Great Lakes
577,Rochester Hills,Michigan,Great Lakes
578,Rochford,South Dakota,Plains
579,Rock,Michigan,Great Lakes
580,Rock,Kansas,Plains
581,Rock Cave,West Virginia,Southeast
582,Rock City,Illinois,Great Lakes
583,Rock Creek,Ohio,Great Lakes
584,Rock Creek,Minnesota,Plains
585,Rock Creek,Kansas,Plains
586,Rock Creek,Oregon,Far West
587,Rock Elm,Wisconsin,Great Lakes
588,Rock Falls,Illinois,Great Lakes
589,Rock Falls,Iowa,Plains
590,Rock Hall,Maryland,Mideast
591,Rock Hill,Missouri,Plains
592,Rock Hill,New York,Mideast
593,Rock Hill,South Carolina,Southeast
594,Rock Hill,Louisiana,Southeast
595,Rock Island,Washington,Far West
596,Rock Island,Oklahoma,Southwest
597,Rock Island,Texas,Southwest
598,Rock Island,Illinois,Great Lakes
599,Rock Mills,Alabama,Southeast
600,Rock Point,Arizona,Southwest
601,Sausalito,California,Far West
602,Savage,Maryland,Mideast
603,Savage,Montana,Rocky Mountain
604,Savage,Mississippi,Southeast
605,Savage,Minnesota,Plains
606,Savage Town,Virginia,Southeast
607,Savageville,Virginia,Southeast
608,Savanna,Oklahoma,Southwest
609,Savanna,Illinois,Great Lakes
610,Savannah,Missouri,Plains
611,Savannah,Ohio,Great Lakes
612,Savannah,Georgia,Southeast
613,Savannah,Tennessee,Southeast
614,Savannah,Texas,Southwest
615,Savannah,New York,Mideast
616,Savery,Wyoming,Rocky Mountain
617,Savona,New York,Mideast
618,Savonburg,Kansas,Plains
619,Savoonga,Alaska,Far West
620,Savoy,Texas,Southwest
621,Savoy,Massachusetts[E],New England
622,Savoy,Montana,Rocky Mountain
623,Savoy,Illinois,Great Lakes
624,Sawmill,Arizona,Southwest
625,Sawmills,North Carolina,Southeast
626,Sawpit,Colorado,Rocky Mountain
627,Sawyer,Oklahoma,Southwest
628,Sawyer,Minnesota,Plains
629,Sawyer,Michigan,Great Lakes
630,Sawyer,Washington,Far West
631,Sawyer,Kansas,Plains
632,Sawyer,North Dakota,Plains
633,Sawyers Bar,California,Far West
634,Sawyerville,Alabama,Southeast
635,Sheboygan Falls,Wisconsin,Great Lakes
636,Shedd,Oregon,Far West
637,Sheep Springs,New Mexico,Southwest
638,Sheffield,Alabama,Southeast
639,Sheffield,Illinois,Great Lakes
640,Sheffield,Pennsylvania,Mideast
641,Sheffield,Ohio,Great Lakes
642,Sheffield,Iowa,Plains
643,Sheffield,Massachusetts[E],New England
644,Sheffield,Montana,Rocky Mountain
645,Sheffield,Texas,Southwest
646,Sheffield,Vermont,New England
647,Sheffield Lake,Ohio,Great Lakes
648,Shelbiana,Kentucky,Southeast
649,Shelbina,Missouri,Plains
650,Shelburn,Indiana,Great Lakes
651,Shelburn,Louisiana,Southeast
652,Shelburne,New Hampshire,New England
653,Shelburne,Massachusetts[E],New England
654,Shelburne,Vermont,New England
655,Shelburne Falls,Massachusetts[E],New England
656,Shelby,Ohio,Great Lakes
657,Shelby,Iowa,Plains
658,Shelby,Michigan,Great Lakes
659,Shelby,Nebraska,Plains
660,Shelby,Mississippi,Southeast
661,Shelby,North Carolina,Southeast
662,Shelby,Indiana,Great Lakes
663,Shelby,Alabama,Southeast
664,Shelby,Montana,Rocky Mountain
665,Shelby,Texas,Southwest
666,Shelby,Wisconsin,Great Lakes
667,Shelbyville,Texas,Southwest
668,Shelbyville,Tennessee,Southeast
669,Shelly,Minnesota,Plains
670,South China,Maine,New England
671,South Cle Elum,Washington,Far West
672,South Coatesville,Pennsylvania,Mideast
673,South Coffeyville,Oklahoma,Southwest
674,South Colton,New York,Mideast
675,South Congaree,South Carolina,Southeast
676,South Connellsville,Pennsylvania,Mideast
677,South Corning,New York,Mideast
678,South Creek,Washington,Far West
679,South Dartmouth,Massachusetts[E],New England
680,South Dayton,New York,Mideast
681,South Daytona,Florida,Southeast
682,South Deerfield,Massachusetts[E],New England
683,South Dennis,Massachusetts[E],New England
684,South Dos Palos,California,Far West
685,South Duxbury,Massachusetts[E],New England
686,South El Monte,California,Far West
687,South Elgin,Illinois,Great Lakes
688,South Eliot,Maine,New England
689,South English,Iowa,Plains
690,South Euclid,Ohio,Great Lakes
691,South Fallsburg,New York,Mideast
692,South Farmingdale,New York,Mideast
693,South Floral Park,New York,Mideast
694,South Fontana,California,Far West
695,South Fork,Missouri,Plains
696,South Fork,Colorado,Rocky Mountain
697,South Fork,Kentucky,Southeast
698,South Fork,Pennsylvania,Mideast
699,South Fulton,Tennessee,Southeast
700,South Garcia,New Mexico,Southwest
701,South Gastonia,North Carolina,Southeast
702,Slater,Wyoming,Rocky Mountain
703,South Gate,Maryland,Mideast
704,Spear,North Carolina,Southeast
705,Spearfish,South Dakota,Plains
706,Spearman,Texas,Southwest
707,Spearsville,Louisiana,Southeast
708,Spearville,Kansas,Plains
709,Speculator,New York,Mideast
710,Speed,Kansas,Plains
711,Speed,North Carolina,Southeast
712,Speedway,Indiana,Great Lakes
713,Speer,Oklahoma,Southwest
714,Speers,Pennsylvania,Mideast
715,Speight,Kentucky,Southeast
716,Spelter,West Virginia,Southeast
717,Spenard,Alaska,Far West
718,Spencer,Virginia,Southeast
719,Spencer,Louisiana,Southeast
720,Spencer,Oklahoma,Southwest
721,Spencer,Idaho,Rocky Mountain
722,Spencer,South Dakota,Plains
723,Spencer,New York,Mideast
724,Spencer,Massachusetts[E],New England
725,Spencer,Wisconsin,Great Lakes
726,Spencer,Iowa,Plains
727,Spencer,West Virginia,Southeast
728,Spencer,Indiana,Great Lakes
729,Spencer,Nebraska,Plains
730,Spencer,Ohio,Great Lakes
731,Spencer,North Carolina,Southeast
732,Spencer,Tennessee,Southeast
733,Spencer Mountain,North Carolina,Southeast
734,Spencerport,New York,Mideast
735,Spencerville,Ohio,Great Lakes
736,Skillman,New Jersey,Mideast
737,Skime,Minnesota,Plains
738,Skippack,Pennsylvania,Mideast
739,Skipperton,Georgia,Southeast
740,Skipton,Maryland,Mideast
741,Skokie,Illinois,Great Lakes
742,Skokomish,Washington,Far West
743,Skowhegan,Maine,New England
744,Skull Valley,Arizona,Southwest
745,Skwentna,Alaska,Far West
746,Sky Lake,Florida,Southeast
747,Sky Londa,California,Far West
748,Sky Valley,California,Far West
749,Sky Valley,Georgia,Southeast
750,Skyforest,California,Far West
751,Skykomish,Washington,Far West
752,Skyland,Nevada,Far West
753,Skyland,North Carolina,Southeast
754,Skyland Estates,Virginia,Southeast
755,Skyline,Nebraska,Plains
756,Skyline,Alabama,Southeast
757,Skyline,Minnesota,Plains
758,Skyway,Washington,Far West
759,Slabtown,Pennsylvania,Mideast
760,Slackwoods,New Jersey,Mideast
761,Slade,Kentucky,Southeast
762,Slagle,Louisiana,Southeast
763,Slana,Alaska,Far West
764,Slanesville,West Virginia,Southeast
765,Slapout,Oklahoma,Southwest
766,Slate Lick,Pennsylvania,Mideast
767,Slate Springs,Mississippi,Southeast
768,Slatedale,Pennsylvania,Mideast
769,Slater,South Carolina,Southeast
770,Mount Victory,Ohio,Great Lakes
771,Nicollet,Minnesota,Plains
772,Orr,Oklahoma,Southwest
773,Pettry,West Virginia,Southeast
774,Hesperia,California,Far West
775,Portis,Kansas,Plains
776,Red Devil,Alaska,Far West
